uuid,memory_address,page_number,page_offset,size,source
b'\xac\xef2y1SI\xc7\xbfE\x08q\xbc\\\xed9',249645473792,,,12288,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\x1e\xb1\xd6i+\xa2O\xef\x94\x9e\xdf\xbfX\xd73\xfb',249645469696,,,12288,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\x0e\xb1\x00\xc6\x14\x8aB{\xb6\x8d\xfa1\xb4#\xbfo',249645465600,,,12288,SOURCE_WINDOWS_FIVEDIRECTIONS
"b""X\x0e\xe6'i1@q\xb6C^A\xc4\xf8\xcf\t""",249645461504,,,12288,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xeb\xc2\xe4\x0e}\xefK\x8c\xaa\xcfVO\xa3\x87FZ',2624176959488,,,12288,SOURCE_WINDOWS_FIVEDIRECTIONS
"b'\x891H""\x92\xcfC\x04\xa2Y!\x80\xd4Q\xccm'",2624176828416,,,4096,SOURCE_WINDOWS_FIVEDIRECTIONS
b'UC\xc9\x9b\xbd\tNe\xa0\x93f\x06\xb4\xb4\x01D',514001469440,,,524288,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\x999\xca\xf5\xd4\x8aE\x96\x9e\x84\x80\x04\x99\x96\x98.',514001960960,,,32768,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xcc\x12\xc2\x83\x92*B\x17\xb5l&\xe57\x17\xd7\xe5',514001948672,,,12288,SOURCE_WINDOWS_FIVEDIRECTIONS
"b'RD\x1f\xac\xb6LJ\x93\xaa""\xcb\r[\xafD\xf3'",895318228992,,,1048576,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xc6%%k\x1coE\xdf\xa4JU\xac\x9bi\x8c\x07',895319244800,,,32768,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\x96qD\x8f\xb1^Ml\xaa\xb5eN\xa3\xf8a\xea',895319232512,,,12288,SOURCE_WINDOWS_FIVEDIRECTIONS
"b';""\xbd\x8b\x8eRJ\xcc\xa2[\xefp%\xadwu'",2147352576,,,4096,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\x02\xe1\xad0\xb9\x88@M\x90\xc4ZR\x88\xa4 3',2147356672,,,61440,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xf3\xc0\xd1]\xfd<J\x01\xbf=\xd2\xb1Q\xa58\xc1',895316131840,,,2097152,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xbf\x8bf\xab\xd4\xe3OK\xabe\xbf\xc5!_\x1cq',249646546944,,,524288,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xca\xdc\xc0/\xbbGL\x1b\xae\xd0\xc5_\xf3\x86_\xfe',249647063040,,,8192,SOURCE_WINDOWS_FIVEDIRECTIONS
"b'UV0\xdc\x97`K1\xa0\x99\x0c,\xc3u\xbc\x0c'",249647050752,,,12288,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xa3\xf0\xa6\xa4\xc2\xbaE\xd8\xb6\x0b\xc3L9\xe4\xec:',1573578735616,,,98304,SOURCE_WINDOWS_FIVEDIRECTIONS
b'g\xeb\n\xaa\r\xd2CK\xb3SIs\xd4\xc8P=',1573578866688,,,73728,SOURCE_WINDOWS_FIVEDIRECTIONS
"b'~6\xf3\x8a\xc13H\r\x8e,\x19\x94\xa6P\xd3\xad'",1573578997760,,,28672,SOURCE_WINDOWS_FIVEDIRECTIONS
b'l5\r\x148\x99A9\x9f\xdd\x8f<8\xe1p\x13',1573579063296,,,86016,SOURCE_WINDOWS_FIVEDIRECTIONS
b'X\xc7\x005\xafOOj\x83\x16UD\xbb\xb0^\n',1573657382912,,,196608,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xeb\xbbR\x0f<\x84Ij\x8f\xca\x04\xbb^M\t\xc6',1573659029504,,,57344,SOURCE_WINDOWS_FIVEDIRECTIONS
b';\xb4\x99\xcf\xc6\xedB\xea\x9ak0\xbc\x1dys\xfc',1573636820992,,,24576,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\x0e4t\x17\\\xbcB\xd9\xbd\xa3`\xd2\xa4\xa67\xe7',1573636640768,,,20480,SOURCE_WINDOWS_FIVEDIRECTIONS
b'ms\x16\xaf/\xf5JV\x83\xa1\xb8\xce\xdb\xd1\x05\xb3',1573636919296,,,20480,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\x13\x8f=m\xe1\x01EA\xaev\xebC\x83\xb0\x1a\xeb',1573636620288,,,12288,SOURCE_WINDOWS_FIVEDIRECTIONS
b'2\x15\xc9c\xb3\xabD\xc1\x9d\xc0\xa3s\x8eb\x8c\xd1',1573657677824,,,12288,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\x88\xe2\x17\xe4\xbd\xf3J\x88\xbe\x88M\x08\xf5Ch\xa0',1573637541888,,,8192,SOURCE_WINDOWS_FIVEDIRECTIONS
b'o\xfb~H\xbd\xd6F\x1e\x87\xfb\xbc\xb7\xd1_L\x0c',1573636542464,,,8192,SOURCE_WINDOWS_FIVEDIRECTIONS
b'2\x04\xe1\xf5y\x95KV\x90\xf3f6\x9fo\xbd\x84',1573628768256,,,4096,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xbe\x90C\xad!nLK\xaf\xcd>dO\xa3=\xea',1573628256256,,,4096,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xab\x99\xc4\xb2\xee\xd9C\xd9\xb1\xd5\xc7\t\xbe\x9a\xa6*',1573657808896,,,4096,SOURCE_WINDOWS_FIVEDIRECTIONS
b' \xad\xce\xdd\x9e\xf4B\x9a\xad\x94i\x14\xbc\x0b\x89\xe7',1573639577600,,,4096,SOURCE_WINDOWS_FIVEDIRECTIONS
