uuid,local_address,local_port,remote_address,remote_port,ip_protocol,file_descriptor,source
b'^\xf3\x81\xed\xf7\x1aAl\xa9J\x0b8-\x00\x82z',::,53522,,,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'q\x03\xcbI{\x00A\x02\x91\xb7\x03\x82}\xcb\xd6C',::,52308,,,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xc6\xb3\x18\x93FyJ\x90\x96S\xdf\xe3\xce]l_',128.55.12.55,53429,128.55.12.10,53.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'z\xde~\x92\xcd*Hm\x8f\x08\xe1\xc9\x07\x8e\xe7o',128.55.12.55,59787,128.55.12.10,53.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'S?C\xb7k\xd7B\xf1\x9d\x88X\xaa\x98\x0bP>',::,56473,,,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'|\xc5\t|\x04tE\xb8\xbf#S\xb3r6`o',::,56682,,,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'[\xd0\xfc\x86\x01\x1bL\x82\xb83\x90@\x18](\\',fe80::6dec:6bcb:d45b:2b66,56682,ff02::1:3,5355.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'_pB\x1fc\xcdO\xf2\x91\xde\x0c\xf7\xa5\x05\xfeJ',10.0.6.5,56682,224.0.0.252,5355.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'i\xdd\xa3\x92%\xccC\x9c\xa5\x87PFsv\xb6\xf5',::,58730,,,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xf7\xe4\x8b\x01hsM\x08\xb2\xf3\xda\xa6\x04\xb8&\x92',fe80::c00b:cb4f:febc:829,58730,ff02::1:3,5355.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xac~)9\x12\x0fC\xb2\xbc\x15B\xa1\xba\xb0\x8eF',128.55.12.55,58730,224.0.0.252,5355.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
