uuid,key,value_name,source
b'2\xa9\x12\xb7]\x8bEs\x89v\xa1\x8f?:\xfd\x02',\REGISTRY\USER\S-1-5-21-231540947-922634896-4161786520-1004\Software\Microsoft\Windows\CurrentVersion\Explorer\GlobalAssocChangedCounter,"{'size': -1, 'type': 'VALUE_TYPE_SRC', 'valueDataType': 'VALUE_DATA_TYPE_INT', 'isNull': False, 'name': '673', 'runtimeDataType': None, 'valueBytes': b'\x00\x00\x02\xa1', 'provenance': None, 'tag': None, 'components': None}",SOURCE_WINDOWS_FIVEDIRECTIONS
b'6\xa7\xac~1zA\xbb\xadL\xee\xe0\xcaM\xb4\xd1',\REGISTRY\USER\S-1-5-21-231540947-922634896-4161786520-1004\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\OpenSavePidlMRU\rtf\7,"{'size': -1, 'type': 'VALUE_TYPE_SRC', 'valueDataType': 'VALUE_DATA_TYPE_BYTE', 'isNull': True, 'name': '%%1800', 'runtimeDataType': None, 'valueBytes': None, 'provenance': None, 'tag': None, 'components': None}",SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xe8\x1f\xc96\x80\x03N\xc3\xb5\\\x8b]\x82\xae\xf2\x85',\REGISTRY\USER\S-1-5-21-231540947-922634896-4161786520-1004\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\OpenSavePidlMRU\*\13,"{'size': -1, 'type': 'VALUE_TYPE_SRC', 'valueDataType': 'VALUE_DATA_TYPE_BYTE', 'isNull': True, 'name': '%%1800', 'runtimeDataType': None, 'valueBytes': None, 'provenance': None, 'tag': None, 'components': None}",SOURCE_WINDOWS_FIVEDIRECTIONS
b'zH\x1fEu\xf2Db\xb9x\x8a\xa7\xc6>\xeb1',\REGISTRY\USER\S-1-5-21-231540947-922634896-4161786520-1004\Software\Microsoft\Windows\CurrentVersion\Search\JumplistData\{6D809377-6AF0-444B-8957-A3773F02200E}\Windows NT\Accessories\wordpad.exe,"{'size': -1, 'type': 'VALUE_TYPE_SRC', 'valueDataType': 'VALUE_DATA_TYPE_LONG', 'isNull': False, 'name': '0x1D504E70DA5EBA4', 'runtimeDataType': None, 'valueBytes': b'\x01\xd5\x04\xe7\r\xa5\xeb\xa4', 'provenance': None, 'tag': None, 'components': None}",SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xe7\xc7\xab\x7f\x11\xecI\xbf\x80\xee\xe7\x1bB\xe8\xa1\x0b',\REGISTRY\USER\S-1-5-21-231540947-922634896-4161786520-1004\Software\Microsoft\Windows\CurrentVersion\Search\RecentApps\{9E387D00-9AB4-4D66-8A64-89B35724F769}\RecentItems\{FF635823-DEB6-47D4-8ADB-739A0904781F}\,"{'size': -1, 'type': 'VALUE_TYPE_SRC', 'valueDataType': 'VALUE_DATA_TYPE_BYTE', 'isNull': True, 'name': None, 'runtimeDataType': None, 'valueBytes': None, 'provenance': None, 'tag': None, 'components': None}",SOURCE_WINDOWS_FIVEDIRECTIONS
b'\x8d\xe9\xa7\x89ooD\xae\x89\xa4\xd7L\x1fv}\xc1',\REGISTRY\USER\S-1-5-21-231540947-922634896-4161786520-1004\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\6,"{'size': -1, 'type': 'VALUE_TYPE_SRC', 'valueDataType': 'VALUE_DATA_TYPE_BYTE', 'isNull': True, 'name': '-', 'runtimeDataType': None, 'valueBytes': None, 'provenance': None, 'tag': None, 'components': None}",SOURCE_WINDOWS_FIVEDIRECTIONS
b'\x9c\xcb\xbc\x96\xee\xd6F}\x9a\x19\x10a\xb6\xf6\xe5\xa0',\REGISTRY\USER\S-1-5-21-231540947-922634896-4161786520-1004\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.rtf\8,"{'size': -1, 'type': 'VALUE_TYPE_SRC', 'valueDataType': 'VALUE_DATA_TYPE_BYTE', 'isNull': True, 'name': '-', 'runtimeDataType': None, 'valueBytes': None, 'provenance': None, 'tag': None, 'components': None}",SOURCE_WINDOWS_FIVEDIRECTIONS
b'~\xe9\x154\xe6\x13@\xeb\x93v]\x15QW\xc3\x83',\REGISTRY\USER\S-1-5-21-231540947-922634896-4161786520-1004\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.rtf\8,"{'size': -1, 'type': 'VALUE_TYPE_SRC', 'valueDataType': 'VALUE_DATA_TYPE_BYTE', 'isNull': True, 'name': '%%1800', 'runtimeDataType': None, 'valueBytes': None, 'provenance': None, 'tag': None, 'components': None}",SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xe8\x86\xb6c\xcfvD\xc8\x81\xd8\xe3d\x81|\x17\xc5',\REGISTRY\USER\S-1-5-21-231540947-922634896-4161786520-1004\Software\Microsoft\Windows\CurrentVersion\Explorer\SessionInfo\1\ApplicationViewManagement\W32:00000000001905F2\,"{'size': -1, 'type': 'VALUE_TYPE_SRC', 'valueDataType': 'VALUE_DATA_TYPE_BYTE', 'isNull': True, 'name': None, 'runtimeDataType': None, 'valueBytes': None, 'provenance': None, 'tag': None, 'components': None}",SOURCE_WINDOWS_FIVEDIRECTIONS
b'\x95\ns\xd0\x88\xb8L\x91\xa2\x82\xed\x81C\x84\xe7>',\REGISTRY\USER\S-1-5-21-231540947-922634896-4161786520-1004\Software\Microsoft\Windows\CurrentVersion\Explorer\SessionInfo\1\ApplicationViewManagement\W32:00000000001905F2\VirtualDesktop,"{'size': -1, 'type': 'VALUE_TYPE_SRC', 'valueDataType': 'VALUE_DATA_TYPE_BYTE', 'isNull': True, 'name': '%%1800', 'runtimeDataType': None, 'valueBytes': None, 'provenance': None, 'tag': None, 'components': None}",SOURCE_WINDOWS_FIVEDIRECTIONS
