uuid,type,cid,parent_subject,local_principal,start_timestamp,cmd_line,privilege_level,source
b'>\xa5\x80\x08\xe6(K\x89\xbe\xbf\rI\xc86\x80\x95',SUBJECT_THREAD,6616,b'\xd6\x86\x82\xfd\xdb^O1\xb8\x8e\xf0\x04\xaa?\x80P',b'\xd7\x9c\x95+F\xaeF\xca\xb6\x93\xc3\xcb1T&\xd0',2019-05-07 09:02:44.056,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'u\x9a\x95&]\xd0I/\xa7\x8d\xe1Be{\xa2\xc8',SUBJECT_THREAD,7960,b'\xd6\x86\x82\xfd\xdb^O1\xb8\x8e\xf0\x04\xaa?\x80P',b'\xd7\x9c\x95+F\xaeF\xca\xb6\x93\xc3\xcb1T&\xd0',2019-05-07 09:02:44.056,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'<Y\xe0I5\x8bD\xba\xa0\xf2\x0e\xb2\xc5\x88{l',SUBJECT_PROCESS,5504,None,None,2019-05-07 11:10:41.912,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xf0\xee\xda3\x8e\x89E\x19\xbb\xd8\xdfl\xc2xJ\x92',SUBJECT_THREAD,6956,b'\xfb\x00J\x04\xff\xbaD\xc2\xbc\x15C\xb6\xa8*~|',b'\x04.\xf9\x0b\x17\x8eC\xd4\x90\x10k6\xc1(\xaf\x1b',2019-05-07 11:10:48.083,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xb4 \xc2\\\x93fC\xc2\xb7\x8f35\xfe$\x1c\xd4',SUBJECT_THREAD,1392,b'\x1a\xebT\x10\xe4\xc5I\x06\xbb0\xbb\x93Dp/\xaf',None,2019-05-07 11:10:48.279,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xde^\xe4\xd8\xbf\xccE\xd3\x87Mr\x15I\x00o\x83',SUBJECT_THREAD,6260,b'\x93\x8d\xa7\x94}\x0fN\xef\x8b]9\xec\x11\x82\xac2',b'\x04.\xf9\x0b\x17\x8eC\xd4\x90\x10k6\xc1(\xaf\x1b',2019-05-07 11:10:48.660,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xb5\xa3\xe4%\xab\rF=\x98Z\xe7\xf2\xeb\xd9\x9c\xf2',SUBJECT_THREAD,5600,b'ByF\xdd\r\xe8A\xe4\xa0\xaa\xeb\xe2\x99 \x0f\xb6',b'\xd7\x9c\x95+F\xaeF\xca\xb6\x93\xc3\xcb1T&\xd0',2019-05-07 11:10:48.938,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xd7{4\xc5rtO;\x9c+\xcb\xfaX\x98\x8a\xd3',SUBJECT_THREAD,3484,b'ByF\xdd\r\xe8A\xe4\xa0\xaa\xeb\xe2\x99 \x0f\xb6',b'\xd7\x9c\x95+F\xaeF\xca\xb6\x93\xc3\xcb1T&\xd0',2019-05-07 11:10:48.943,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'qk\x95\xc9i6B\x15\xaa>\xb0\xbe{M\x95=',SUBJECT_THREAD,1568,b'ByF\xdd\r\xe8A\xe4\xa0\xaa\xeb\xe2\x99 \x0f\xb6',b'\xd7\x9c\x95+F\xaeF\xca\xb6\x93\xc3\xcb1T&\xd0',2019-05-07 11:10:48.960,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xef\xaa\xce\x9e`\xb9L\x80\xaf\xdeHd8\x173\xee',SUBJECT_THREAD,2788,b'ByF\xdd\r\xe8A\xe4\xa0\xaa\xeb\xe2\x99 \x0f\xb6',b'\xd7\x9c\x95+F\xaeF\xca\xb6\x93\xc3\xcb1T&\xd0',2019-05-07 11:10:48.993,,,SOURCE_WINDOWS_FIVEDIRECTIONS
